제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜대수,리콜사유,시정대수,시정율(퍼센트)
비엠더블유코리아(주),C650GT,2012-07-09,2013-12-06,2014-08-20,419,"체인텐셔너 내부의 스프링을 고정하는 장치가 경우에 따라 비정상저인 마모가 진행될 수 있으며, 이러한 경우 텐셔너가 그 고유의 장력을 잃을 수 있습니다. 이는 엔진 구동용 캠축을 구동하게 하는 체인이 제 위치를 이탈하게 하여 인젠의 흡배기 밸브에 추가적인 손상을 줄수 있으며 이는 엔진의 시동성을 떨어뜨리고, 경우에따라 시동일 꺼질수 있음",396,94.51
비엠더블유코리아(주),R1200RT,2013-11-27,2014-05-28,2014-08-20,116,뒤쪽 ESA 서스펜션의 피스톤로드가 고장이 발생하여 유압의 힘을 충분히 받지 못 할 경우 주행 중 타이어가 머다 가드에 닿을 수 있는 문제 발생,115,99.14
(주)재규어랜드로버코리아,XJ,2012-05-21,2012-07-10,2014-08-21,1,SRS 안전장치 컨트롤 모듈에 일반 보정 소프트웨어 프로그램 문제 발생으로 FMVSS 208규정과 UN ECE 94 규정에 부합하지 않으며 국내 자동차안전기준에 관한 규칙 제102조와 동일한 규정임,1,100
비엠더블유코리아(주),X5 35i,2010-04-08,2011-09-10,2014-08-30,318,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",315,99.06
비엠더블유코리아(주),535i,2011-06-08,2011-08-22,2014-08-30,34,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",32,94.12
비엠더블유코리아(주),X5 35i,2011-06-29,2011-08-24,2014-08-30,11,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",10,90.91
비엠더블유코리아(주),X3 35i,2011-05-04,2011-05-04,2014-08-30,1,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",1,100
비엠더블유코리아(주),GT 535i,2010-03-01,2011-08-04,2014-08-30,1760,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",1730,98.3
비엠더블유코리아(주),GT 535Xi,2010-09-07,2011-08-12,2014-08-30,621,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",614,98.87
비엠더블유코리아(주),640i,2011-08-09,2011-08-09,2014-08-30,1,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",1,100
비엠더블유코리아(주),535iX,2011-07-14,2011-07-14,2014-08-30,1,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",1,100
비엠더블유코리아(주),535i,2010-05-27,2010-11-23,2014-08-30,5,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",5,100
비엠더블유코리아(주),328Xi,2010-02-26,2010-11-16,2014-08-30,3,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",2,66.67
비엠더블유코리아(주),335i,2010-08-30,2010-08-30,2014-08-30,1,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",1,100
비엠더블유코리아(주),535i,2010-01-22,2011-08-01,2014-08-30,555,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",544,98.02
비엠더블유코리아(주),530i,2010-02-27,2011-01-31,2014-08-30,3383,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",3268,96.6
비엠더블유코리아(주),328i Cabrio,2010-03-16,2011-08-02,2014-08-30,93,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",93,100
비엠더블유코리아(주),523i,2010-02-02,2010-10-26,2014-08-30,279,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",268,96.06
비엠더블유코리아(주),528i,2010-11-10,2010-11-10,2014-08-30,1,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",1,100
비엠더블유코리아(주),335i,2011-05-20,2011-07-27,2014-08-30,9,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",9,100
비엠더블유코리아(주),335i Cabrio,2010-03-05,2011-01-10,2014-08-30,88,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",87,98.86
비엠더블유코리아(주),335Xi,2010-11-03,2010-11-03,2014-08-30,1,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",1,100
비엠더블유코리아(주),328i,2010-06-21,2011-06-09,2014-08-30,2,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",2,100
비엠더블유코리아(주),X6 35i,2011-06-17,2011-06-17,2014-08-30,1,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",1,100
비엠더블유코리아(주),Z4 30i,2010-03-15,2011-01-28,2014-08-30,21,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",20,95.24
비엠더블유코리아(주),135i,2011-06-17,2011-06-17,2014-08-30,1,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",1,100
비엠더블유코리아(주),X5 3.0Si,2010-02-11,2010-02-23,2014-08-30,4,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",3,75
비엠더블유코리아(주),X5 3.0Si,2010-01-21,2010-01-21,2014-08-30,1,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",1,100
비엠더블유코리아(주),X6 35i,2011-04-01,2011-08-28,2014-08-30,36,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",36,100
비엠더블유코리아(주),BMW R1200GS,2012-11-22,2012-12-20,2013-03-15,57,"변속기 내 높은 오일 압력으로 변속기 출력부에서 오일이 누유 될 수 있고, 누유 된 오일로 인해 미끄러질 가능성이 있어 안전운행에 지장",57,100
비엠더블유코리아(주),BMW R1200GS,2012-11-15,2013-02-05,2013-03-15,65,뒷바퀴 미끄러짐 방지 시스템(anti slip control)이 작동되지 않아 운행 중 미끄러질 가능성이 있어 안전운행 지장,65,100
만트럭버스코리아(주),TGX 28. 480 6*2-2 BKS,2009-12-04,2010-04-22,2015-04-24,58,수동 조작 밸브 에어 공급라인 부분이 정상 공정보다 깊게 천공 작업이 적용되어 갈라짐이 발생 될 수 있어 운행중 공기 누출 시 주차브레이크 제동장치가 작동하여 브레이크 캘리퍼에 열이 발생하여 제동 성능에 문제가 발생 할 수 있음,56,96.55
만트럭버스코리아(주),TGX 26.480 6*4 BLS,2010-03-11,2010-04-22,2015-04-24,3,수동 조작 밸브 에어 공급라인 부분이 정상 공정보다 깊게 천공 작업이 적용되어 갈라짐이 발생 될 수 있어 운행중 공기 누출 시 주차브레이크 제동장치가 작동하여 브레이크 캘리퍼에 열이 발생하여 제동 성능에 문제가 발생 할 수 있음,3,100
만트럭버스코리아(주),TGS 26.440 6*2-2 BLS,2010-01-25,2010-01-25,2015-04-24,1,수동 조작 밸브 에어 공급라인 부분이 정상 공정보다 깊게 천공 작업이 적용되어 갈라짐이 발생 될 수 있어 운행중 공기 누출 시 주차브레이크 제동장치가 작동하여 브레이크 캘리퍼에 열이 발생하여 제동 성능에 문제가 발생 할 수 있음,1,100
만트럭버스코리아(주),TGX 28.440 6*2-2 BLS,2010-01-27,2010-04-16,2015-04-24,7,수동 조작 밸브 에어 공급라인 부분이 정상 공정보다 깊게 천공 작업이 적용되어 갈라짐이 발생 될 수 있어 운행중 공기 누출 시 주차브레이크 제동장치가 작동하여 브레이크 캘리퍼에 열이 발생하여 제동 성능에 문제가 발생 할 수 있음,7,100
메르세데스벤츠코리아(주),GLA200 CDI 4Matic,2014-10-01,2015-02-12,2015-04-27,4,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,4,100
메르세데스벤츠코리아(주),CLA200 CDI 4Matic,2014-10-01,2015-02-12,2015-04-27,2,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,2,100
메르세데스벤츠코리아(주),CLS250 Blue TEC 4Matic,2014-10-01,2015-02-12,2015-04-27,171,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,171,100
메르세데스벤츠코리아(주),E250 Blue TEC 4Matic,2014-10-01,2015-02-12,2015-04-27,284,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,283,99.65
메르세데스벤츠코리아(주),C250 Blue TEC 4Matic,2014-10-01,2015-02-12,2015-04-27,81,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,81,100
메르세데스벤츠코리아(주),GLA200 CDI,2014-10-01,2015-02-12,2015-04-27,80,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,80,100
메르세데스벤츠코리아(주),CLA200 CDI,2014-10-01,2015-02-12,2015-04-27,2,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,2,100
메르세데스벤츠코리아(주),C220 Blue TEC,2014-10-01,2015-02-12,2015-04-27,310,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,310,100
메르세데스벤츠코리아(주),GLK220 CDI 4Matic,2014-10-01,2015-02-12,2015-04-27,45,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,45,100
메르세데스벤츠코리아(주),E220 Blue TEC,2014-10-01,2015-02-12,2015-04-27,593,타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음,592,99.83
메르세데스벤츠코리아(주),C200,2013-12-16,2014-10-23,2015-04-27,1187,연료탱크에 장착된 연료 공급 라인이 분리되어 연료 공급 압력이 떨어져 시동 꺼짐과 시동정지후 시동이 걸리지 않을 가능성,1185,99.83
유한회사 모토로싸,M1200S MY17,2016-12-20,2017-05-25,2018-02-09,21,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,21,100
유한회사 모토로싸,M1200R,2016-03-09,2017-05-12,2018-02-09,34,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,30,88.24
유한회사 모토로싸,M1200S,2015-04-15,2016-07-11,2018-02-09,66,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,48,72.73
유한회사 모토로싸,SCRAMBLER CAF RACER,2017-03-28,2017-09-20,2018-02-09,50,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,42,84
유한회사 모토로싸,Panigale 1299 Final edition,2017-07-06,2017-09-13,2018-02-09,7,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,7,100
유한회사 모토로싸,Panigale 1299 SUPERLEGGERA,2017-05-19,2017-06-23,2018-02-09,3,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,3,100
유한회사 모토로싸,Panigale 1299,2015-07-09,2015-07-28,2018-02-09,9,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,5,55.56
유한회사 모토로싸,Panigale R JAP,2015-09-18,2015-09-18,2018-02-09,1,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,1,100
유한회사 모토로싸,Panigale R,2015-05-05,2015-05-06,2018-02-09,2,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,0,
유한회사 모토로싸,XDIAVEL S,2016-02-19,2017-06-16,2018-02-09,94,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,87,92.55
유한회사 모토로싸,MTS1200S,2015-07-18,2017-07-10,2018-02-09,77,앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐,65,84.42
스텔란티스코리아주식회사,세브링 JS,2010-03-10,2011-03-02,2017-09-14,58,사고 시 차량충격센서 등에서 신호를 전달받아 에어백 등을 동작시키는 역할을 하는 탑승자보호컨트롤러(ORC) 내부회로가 잘못 제작되어 사고 시 에어백이 작동하지 않을 가능성,38,65.52
스텔란티스코리아주식회사,캘리버 PM,2010-01-29,2011-06-06,2017-09-14,88,사고 시 차량충격센서 등에서 신호를 전달받아 에어백 등을 동작시키는 역할을 하는 탑승자보호컨트롤러(ORC) 내부회로가 잘못 제작되어 사고 시 에어백이 작동하지 않을 가능성,62,70.45
스텔란티스코리아주식회사,짚컴패스 MK,2009-11-02,2014-07-27,2017-09-14,3710,사고 시 차량충격센서 등에서 신호를 전달받아 에어백 등을 동작시키는 역할을 하는 탑승자보호컨트롤러(ORC) 내부회로가 잘못 제작되어 사고 시 에어백이 작동하지 않을 가능성,3056,82.37
(주)볼보자동차코리아,S80,2015-04-17,2015-08-09,2015-09-24,18,Stop&Start 기능이 작동된 상태에서 주행 중 엔진 시동장치(모터)의 퓨즈가 끊어져 정차시 재시동이 되지않아 안전운행에 지장을 줄 가능성,18,100
(주)볼보자동차코리아,S60,2015-04-09,2015-08-13,2015-09-24,12,Stop&Start 기능이 작동된 상태에서 주행 중 엔진 시동장치(모터)의 퓨즈가 끊어져 정차시 재시동이 되지않아 안전운행에 지장을 줄 가능성,12,100
(유)기흥모터스,XG750,2014-02-24,2015-07-15,2015-09-24,207,연료펌프 결함으로 인하여 연료량이 적을경우 엔진 부조 혹은 시동꺼짐 증상으로 안전운행에 지장을 줄 가능성,207,100
스텔란티스코리아주식회사,"짚그랜드체로키, WK",2011-05-13,2012-12-19,2015-09-18,2126,차량 전원 통합 모듈내부에 장착된 연료 펌프 릴레이가 어떤 경고 메시지 없이 작동이 안될 가능성이 있음,2080,97.84
비엠더블유코리아(주),G 650 GS,2013-03-11,2013-08-26,2015-09-18,9,엔진컨트롤 장치 소프트웨어의 오류 및 흡기기관의 체결부가 느슨해셔 있어 공회전시 시동이 꺼질 수 있는 가능성,9,100
엠엠에스케이,이클립스,2008-09-16,2008-12-18,2015-09-18,120,ABS제어장치(모듈레이터)에 부식이 발생하여 브레이크 성능이 저하될 수 있어 안전운행에 지장,36,30
메르세데스벤츠코리아(주),E300 4Matic,2015-04-01,2015-04-30,2015-09-14,39,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견,39,100
메르세데스벤츠코리아(주),E300,2015-04-01,2015-04-30,2015-09-14,2,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견,2,100
메르세데스벤츠코리아(주),CLS 400,2015-04-01,2015-04-30,2015-09-14,1,엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견,1,100
혼다코리아(주),CBR500R,2013-03-15,2015-04-01,2015-09-01,253,연료탱크 내부의 연료량 감지센서 결함으로 연료량 표시 오류 및 시동꺼짐 현상 발생 가능성,173,68.38
혼다코리아(주),CBR125R,2013-10-01,2015-06-04,2015-09-01,972,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,507,52.16
혼다코리아(주),CB500X,2015-02-10,2015-06-04,2015-09-01,26,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,23,88.46
혼다코리아(주),CBR650F,2014-04-03,2015-05-18,2015-09-01,168,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,108,64.29
혼다코리아(주),NC750D,2014-02-10,2015-06-01,2015-09-01,229,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,183,79.91
혼다코리아(주),CRF250L,2014-01-06,2015-06-03,2015-09-01,74,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,52,70.27
혼다코리아(주),NC750XA,2014-02-10,2015-06-11,2015-09-01,89,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,70,78.65
혼다코리아(주),CBR300R,2014-06-06,2015-05-06,2015-09-01,254,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,199,78.35
혼다코리아(주),CTX700A,2013-12-07,2015-06-05,2015-09-01,51,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,38,74.51
혼다코리아(주),CBR500R,2015-02-10,2015-06-04,2015-09-01,102,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,76,74.51
혼다코리아(주),NSS300,2014-05-03,2015-06-03,2015-09-01,224,스터터 마그네틱 스위치에 방수 실란트가 과도하게 주입되어 실란트가 퓨즈 결합 부위의 터미널에 흘러 나오게 되고 이로인해 접촉불량이 발생하여 엔진 시동이 꺼지거나 화재 발생 가능성,169,75.45
한국지엠(주),트랙스,2013-11-07,2014-01-18,2014-08-14,389,운적석 파워시트가 장착된 차량이 충돌사고 시 시트 앞 부분 고정고리의 용접부위가 탈락되면서 고정 고리가 시트레일에서 분리될 수 있음,388,99.74
포드세일즈서비스코리아(유),이스케이프,2013-10-16,2013-10-18,2014-08-12,9,"파노라마 선루프 프레임과의 접합 시 사용되는 우레탄 에폭시의 혼합 불량으로 소음, 누수 또는 차량으로 부터 글래스 판넬이 분리될 수 있음",8,88.89
브이엠케이 주식회사,VESPA 946 125,2013-09-10,2013-09-10,2014-08-13,31,연료파이프 구조 결함으로 인해 파이프가 파열되어 연료 공급 라인에서 연료가 누출될 수 있으며 이로인해 시동정지 및 화재유발의 가능성이 있음,24,77.42
포드세일즈서비스코리아(유),퓨전,2012-07-07,2013-04-20,2015-10-26,754,자동차 앞·뒤 도어에 장착된 도어래치의 내부 스프링이 이탈되어 차문이 정상적으로 닫히지 않거나 주행 중 열릴 가능성,731,96.95
포드세일즈서비스코리아(유),MKZ,2012-11-20,2013-05-31,2015-10-26,136,자동차 앞·뒤 도어에 장착된 도어래치의 내부 스프링이 이탈되어 차문이 정상적으로 닫히지 않거나 주행 중 열릴 가능성,134,98.53
지엠코리아(주),캐딜락 SRX,2011-03-08,2011-08-01,2015-01-05,186,전동식 앞 시트의 높이 조절용 액츄에이터 볼트가 헐거워지거나 이탈되는 현상이 발생,166,89.25
(유)기흥모터스,FLS(소프테일 슬림),2014-10-03,2014-10-03,2014-12-31,19,프로그램 오류로 전방 턴시그널이 정상 작동하지 않을 수 있는 가능성 발견,19,100
한국닛산(주),알티마,2012-03-06,2013-02-28,2014-12-31,2042,"후드레치 2차 걸쇠 제작결함으로 엔진 후드 패널과 후드 2차 걸쇠 사이에서 오염 물질, 부식 등으로 인해 후드가 완전히 닫히지 않을 수 있는 가능성이 있음",2026,99.22
