"","리콜사유","Classification","Part.Type","Specific.Part"
"11","ABS 액츄에이터 오일 씰의 제조 공정 상의 문제로 오일 씰의 장력이 충분하지 않을 수 있습니다. 오일 씰의 최악의 장력과 차량의 고온 환경 조건이 결합되면 잠재적으로 오일 누유가 발생할 수 있습니다.","Safety","Brakes","Unknown"
"12","에어백 제조사인 다카타의 조사에 의하면 차량 운전석 및 조수석 전면에 장착된 에어백 모듈의 내부 인플레이터 추진제가 높은 절대 습도, 고온 사이클링의 지속적인 조건에 수년간 노출된 경우, 에어백이 작동될 때 과도한 폭발로 인해 비정상적인 내부압력으로 인해 인플레이터 몸체가 파열될 수 있습니다. 파열 가능성은 또한 특정 차량 환경, 인플레이터 및 추진력 구성, 제조 변동성 등의 다른 요인에 의해 영향을 받을 수 있습니다.","Safety","Interior Safety","Unknown"
"13","2015년식 Mondeo, 2016년식 MKZ 및 MKX 차량은 제설 소금 사용과 연관된 부식이 높은 환경에서 *파워스티어링 모터의 볼트가 부식되면 볼트가 파손될 수 있습니다. 만약, 파워스티어링 모터 볼트가 파손될 경우, 파워 스티어링 보조 조향기능을 잃게 되어 사고의 위험이 있기 때문에 이를 예방하기 위해 제작결함을 시정하고자 함 (*파워스티어링: 보조조향력(파워스티어링 모터)을 이용하여 핸들을 돌리는 데 소모되는 힘을 줄여주는 장치)","Safety","Steering","Unknown"
"14","운전석 에어백 팽창기(건조제 없는 질산암모늄 사용) 하우징이 에어백 전개시 과도한 내부 압력 때문에 파손될 수 있으며, 특히 차량이 고온다습한 환경에서 장시간 노출될 경우, 에어백 전개시 금속 파편이 튀어나와 차량 탑승자들에게 심각한 부상을 입힐 가능성이 있음","Safety","Interior Safety","Unknown"
"15","연료 탱크와 고압 펌프 사이의 저압 연료 라인에 제작 오차 및 제작 환경 문제로 인한 결함 부품의 연료 누유 가능성이 발견됨. 1) 납품업체(Dytech Dynamic Fluid Technologies S.p.A)에서 연료 파이프(Fuel Pipe)와 퀵 커넥터(Quick connector)를 연결하기 전 준비 단계에서 플라스틱 파이프 끝의 과도한 가공(박리 처리)으로 인하여 연료 파이프와 퀵 커넥터 체결 시 미세한 공간이 발생될 가능성이 있음. 2) 금속 파이프와 플라스틱 파이프 사이를 연결 중에 침입한 이물질로 인하여 플라스틱 파이프에 긁힘이 발생할 가능성이 있음. *추가 리콜 사유 마세라티는 지속적으로 생산공장의 추적 데이터를 검토 & 분석하여 각 차량의 개별 조립 기록을 점검하여 의심되는 구성 부품의 추적 정보에 인적 오류로 인한 부 정확성이 있었음을 확인 하였음. 그로 인해 문제가 있을 가능성이 있는 연료파이프의 LOT#번호 구간을 확대 하였음. 보다 자세한 사항은 첨부된 Chronology 378 Recall Document_번역본 확인 부탁 드립니다.","Safety","Fuel System","Fuel Pump"
"16","국내 수입된 19,20 년식 S60, S90, S90L, V60CC, V90CC, XC40, XC60, X90 차량 일부에서 운전자 보조 장치인 비상자동제동장치(AEBS)가 제대로 작동하지 않을 수 있는 것을 확인하였습니다. 이는 소프트웨어 오류에 의한 결함이며, 이로 인해 비상자동제동장치(AEBS)의 제어 모듈 내 작동 환경(내부 메모리 온도상태)이 제대로 인식되지 못하여 카메라 및 레이더가 전방 장애물을 올바르게 인식하지 못하게 됩니다 비상자동제동장치(AEBS)란 주행 중 전방 충돌 상황을 감지하여 충돌을 완화하거나 회피할 목적으로 자동차를 감속 또는 정지시키기 위하여 자동으로 제동장치를 작동시키는 장치.","Safety","Other","Unknown"
"17","연료 필터와 고압펌프 사이에 장착된 연료 공급호스가 재질 내구성(내환경) 부족에 따른 호스 내/외면에 미세한 Crack 발생으로 미세하게 연료가 누유될 가능성 존재","Safety","Fuel System","Fuel Pump"
"18","특정한 환경 (저속 주행 시 핸들을 끝까지 돌린 후 회전)에서 주행 시 앞 타이어와 휠 하우징 라이너가 서로 접촉할 가능성을 발견 하였습니다.","Safety","Wheels","Tires"
"19","가. 2020 년 7 월 13 일 ACCORD 2.0 T 모델 608 대 대상으로 시행했던 리콜의 대상 차종 확대 건임. 나. 연료 펌프 내 부 의 임펠러 1 가 사출 성형 2 제 조 과정에서 낮은 압력으로 압축되어 임펠러 의 수지밀도가 낮게 제작 되었으며 저밀도 제품의 임펠러를 연료 펌프에 조립 함. 다. 출하검사 공정에 사용되는 검사액 3 이 수지 밀도가 낮은 임펠러 내부까지 침투되기 쉬워지고 , 장기간 방 치되었을 경우에 임펠러 표층에 침투된 검사액이 휘발되어 표층과 내부의 수축 차이로 인 해 임펠러 표층에 미세한 크랙이 발생됨. 라. 임펠러 표층에 미세한 크랙이 발생한 상태에서 차량 이 운행될 경우 연료가 연료펌프 내부의 임펠러 크랙 부분에 침투되고 고온 환경에서 사용되므로 팽창에 의해 임펠러에 변형이 발생됨. *1. 임펠러 연료 펌프 내부에 있는 수지제의 날개형이며 회전하면서 연료를 압송하는 것. *2. 사출 성형 : 열을 가한 원통 속에 가소성 수지를 넣고 녹인 다음 틀 안으로 압력을 가하여 제품을 만드는 방식. *3. 검사액 : 펌프 전수 검사에 사용하는 유기용제 드라이 흡수제","Safety","Fuel System","Fuel Pump"
"20","배기가스재순환장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다.이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다.","Safety","Air Conditioning","Unknown"
"21","조수석 에어백 모듈이 에어백 전개시 과도한 내부 압력 때문에 파손될 수 있으며, 특히 차량이 고온다습한 환경에서 장시간 노출될 경우, 에어백 전개시 금속 파편이 튀어나와 차량 탑승자들에게 심각한 부상을 입힐 가능성이 있음","Safety","Interior Safety","Unknown"
"22","특정환경 조건(부품온도 -17.5 ° C 이하)에서의 충돌시 시트벨트를 구속시켜주는 케이스 커버의 리벳이 파손 될 수 있습니다.","Safety","Seats and Interior","Seats"
"23","배기가스재순환장치 냉각기 결함으로 냉각수가 누출 될 수 있고, 그 결과 배기가스재순환장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin구조의 내부, 배기가스재순환장치 냉각기의 입구 근처, 그리고 배기가스재순환장치 냉각기 끝 단에서 배기가스재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다.","Safety","Air Conditioning","Unknown"
"24","차량 생산공정에서 차량 전면 양쪽 코너부 에어 스포일러(에어 디플렉터)와 차체 간 연결 고리에 적용한 접착력이 시간이 지남에 따라 약해져 진동, 돌풍, 터널 주행과 같은 환경의 영향으로 인해 차체에서 이탈될 가능성이 발견되었습니다.","Safety","Body/Chassis","Unknown"
"25","브레이크 패드가 부식을 유발할 수 있는 외부환경에 노출될 경우 브레이크 패드의마찰재와 브레이크 패드 백 플레이간 부식이 발생하여 브레이크 패드의 마찰재가 브레이크 패드의 백 플레이트로부터 이탈될 가능성이 있음.","Safety","Brakes","Brakes"
"26","운전석 에어백 인플레이터(Inflator/에어백 가스 발생장치)에 사용된 5AT 148 N 추진제가 덥고 습한 환경과 같은 특정 조건에 자주 노출되게 되면, 추진제의 성분 중 하나인 질산나트륨의 특성에 의해 수분이 흡수되어 알갱이의 체적 변화가 일어나게 됩니다. 이는 추진제 알갱이의 내부 응력을 일으키게 되어 시간이 지남에 따라 알갱이가 부식되기 시작하고 먼지 입자를 형성하게 됩니다. 먼지 입자는 연소되는 표면적을 증가시켜 연소율을 높이게 되고, 연소율이 높을수록 연소실 압력이 높아져 인플레이터의 파열될 수 있는 위험이 높아지게 됩니다.","Safety","Interior Safety","Unknown"
"27","사이드 스탠드의 스프링이 설계상 오류로 인하여, 지속적인 운행 환경에 노출 될 경우, 모터사이클에서 발생하는 진동에 의해 스프링이 공명 하여 크랙 및 파손이 발생 할 수 있으며, 최종적으로 사이드 스탠드 스프링이 사이드 스탠드로부터 이탈 하여, 인히비터 스위치( *)가 작동 되어, 주행 중 시동이 꺼질 수 있음. (*)인히비터 스위치: 엔진 시동 제한 장치","Safety","Engine","Engine"
"28","도로 환경적 요인에 의해 2차 후드걸쇠장치가 열린 상태에서 고착될 수 있습니다. 이러한 조건 에서 주유 시 연료 주입구 열림 버튼과 혼동하는 등 1차 후드걸쇠장치를 잘못 열 경우 후드가 제대로 닫히지 않을 수 있습니다","Safety","Fuel System","Fuel Pump"
"29","질산암모늄(PSAN)으로 만든 태블릿 추진체가 절대습도와 온도가 높은 환경에서 지속 조건으로 수년 동안 노출된 후 변화될 가능성이 있고 이는 에어백 전개 시 인플레이터 내의 가스 압력이 설계 기준보다 높아져 과다폭발 및 파열이 발생할 가능성이 있음.","Safety","Interior Safety","Unknown"
"30","생산 공정상의 문제로 연료호스가 설계사양에 맞지 않게 제작되었을 가능성이 있습니다. 연료공급 파이프 접합부에 고정장치(클램프)로 고정되어 있으나 사용기간 또는 사용환경에 따라 수축, 팽창, 경화 등으로 인하여 연료공급 파이프와의 연결이 헐거워질 가능성이 있습니다.","Safety","Fuel System","Fuel Pump"
"31","브레이크 패드가 부식을 유발할 수 있는 외부 환경에 노출될 경우, 브레이크 패드의 마찰재와 브레이크 패드 백 플레이트 간 부식이 발생하여 브레이크 패드의 마찰재가 브레이크 패드의 백 플레이트부터 이탈될 가능성이 있음. * 브레이크 패드 백 플레이트는, 브레이크 패드의 마찰재가 부착되어 있는 금속판을 지칭함.","Safety","Brakes","Brakes"
"32","GV80 스마트스트림 D3.0 엔진 장착 차량에서 공회전 제한 시스템(ISG) 로직 설정 오류로 계기판에 ISG 경고 문구가 표출된 후 일부 조건에서 변속이 정상적으로 되지 않을 가능성 * ISG 경고 문구 : 'AUTO STOP 시스템 해제! P 또는 N단에서 시동을 거십시오' ※ 공회전 제한 시스템(ISG, Idle Stop and Go) : 정차 시 자동으로 엔진을 일시 정지 및 재시동하여 연비를 향상시키고 배출가스 발생을 억제하는 시스템","Safety","Engine","Engine"
"33","배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출 될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 wave fin 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환 장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생기면 글로잉 입자가 흡기다기과느이 외부로 날아가 주변 부품의 표면에 안착 하게 되어 극히 드문 경우 화재가 발생할 가능성이 있습니다.","Safety","Air Conditioning","Unknown"
"34","기어 체인지 페달 볼 조인트 볼트(Gear change pedal ball joint bolt: 기어변속 페달 고정볼트)의 설계 오류(나사풀림방지제의 내구성부족)로 인하여, 기어 체인지 페달의 조작 및 지속적인 운행 환경에 노출 될 경우, 기어 체인지 페달 볼 조인트 볼트가 점차 느슨해 지며, 결합부로부터 이탈 되어 기어 변속을 수행 할 수 없음.","Safety","Other","Unknown"
"35","연료 탱크와 고압 펌프 사이의 저압 연료 라인에 제작 오차 및 제작 환경 문제로 인한 결함 부품의 연료 누유 가능성이 발견됨. 1) 결함이 있는 구조 장치 : 연료 장치(연료 파이프) 2) 결함 원인 : ① 납품 업체(Dytech Dynamic Fluid Technologies S.p.A)에서 연료 파이프(Fuel Pipe)와 퀵 커넥터(Quick Connector) 를 연결하기 전 준비 단계에서 플라스틱 파이프 끝의 과도한 가공(박리 처리)으로 인하여 연료 파이프와 퀵 커넥터 체결 시 미세한 공간이 발생되어 그 부분으로 누유가 발생할 가능성이 있음. ② 금속 파이프와 플라스틱 파이프 사이를 연결 중에 침입한 이물질로 인하여 플라스틱 파이프에 긁힘이 발생할 가능성이 있으며 그로 인해 손상된 플라스틱 파이프 공간으로 누유가 발생할 가능성이 있음. -결함 인지일 : 2020년 07월 13일 -Maserati S.p.A.의 인적 오류로 제작 결함 시정 조치 2019RIV042 대상 차량 중 3대 누락 되어 자발적 시정 조치 추가 실시를 위한 추가 보고 -제작 결함 시정 조치 2019RIV042(총 대상 : 169대) 와 동일 건 -자발적 제작 결함 시정 조치 2019RIV042 시행일 : 2019년 01월 28일(월)부터","Safety","Fuel System","Fuel Pump"
"36","가. 연료 펌프 내부의 임펠러*1의 사출 성형*2 제조 과정에서 낮은 압력으로 압축되어 임펠러의 수지 밀도가 낮아지게 제작되었으며, 저밀도 제품의 임펠러를 연료 펌프에 조립함. 나. 출하검사 공정에 사용되는 검사액*3이 수지 밀도가 낮은 임펠러 내부까지 침투되기 쉬워지고, 장 기간 방치되었을 경우에 임펠러 표층에 침투된 검사액이 휘발되어, 표층과 내부의 수축 차이로 인 해 임펠러 표층에 미세한 크랙이 발생됨. 다. 임펠러 표층에 미세한 크랙이 발생한 상태에서 차량 사용의 과정으로 연료가 연료펌프 내부의 임 펠러 크랙 부분에 침투되고 고온 환경에서 사용되므로 팽창에 의해 임펠러에 변형이 발생됨. *1 임펠러 : 연료 펌프 내부에 있는 수지제의 날개형이며 회전하면서 연료를 압송하는 것. *2 사출 성형 : 열을 가한 원통 속에 가소성 수지를 넣고 녹인 다음 틀 안으로 압력을 가하여 제품을 만드는 방식 *3 검사액 : 펌프 전수 검사에 사용하는 유기용제(드라이 흡수제)","Safety","Fuel System","Fuel Pump"
"37","일반적인 주행 환경하에 앞 브레이크 마스터 실린더내 피스톤의 제조상 오류로 마스터 실린더내 피스톤에 균열이 발생할 수 있는 결함이 발견되었음.","Safety","Brakes","Brakes"
"38","연료 탱크와 고압 펌프 사이의 저압 연료 라인에 제작 오차 및 제작 환경 문제로 인한 결함 부품의 연료 누유 가능성이 발견됨. 1) 납품업체(SumiRiko Italy spa)에서 연료 파이프(Fuel Pipe)와 퀵 커넥터(Quick connector)※를 연결하기 전 준비과정에서 플라스틱 파이프 끝부분의 과도한 가공(박리)로 인하여 체결 시 미세한 공간이 발생될 가능성이 있음. ※ 퀵 커넥터(Quick connector): 별도의 공구가 필요없이 손으로 탈부착 가능하게 하는 연결부위용 결합장치 2) 모든 저압 연료 라인에서 금속 파이프와 플라스틱 파이프 결합 시 불순물이 유입되어 있어 이로 인해 플라스틱 파이프가 손상되어 있을 가능성이 있는 부품이 차량에 장착됨.","Safety","Fuel System","Fuel Pump"
"39","제설 소금 사용과 연관된 부식이 높은 환경에서 파워스티어링 모터의 볼트가 부식되며 볼트가 파손될 수 있음","Safety","Steering","Unknown"
"40","2014.11.12 ~ 2020.12.15 생산된 볼보 FH 트랙터/카고 차종의 AHI 파이프(배출가스 후처리용 연료공급 파이프) 연결 부위가 엔진 진동 부하로 발생하는 기계적 스트레스로 인하여 마모 및 손상발생 가능성 있음","Safety","Engine","Fuel Pump"
"41","계기판 모듈 소프트웨어의 계산 알고리즘 결함으로 인하여 카본 세라믹 디스크 잔량 측정을 제대로 하지 못하거나, 특정 환경에 따라 디스크 잔량 측정수치가 초기화 될 수 있습니다. 디스크 잔량 측정수치가 초기화 될 수 있는 특정 환경은 다음과 같습니다. ① 엔진 START/STOP 버튼을 짧게 눌러, 엔진을 시동시키지 않고 계기판만 활성화 시킬 경우 ② 계기판에서 외부 온도 신호를 사용할 수 없을 경우 ③ 계기판을 작동시킨 후 5초 이내로 다시 계기판을 끄는 경우 디스크 잔량 측정은 소프트웨어 알고리즘에 의해 계산되고, 계산을 위해 사용되는 주요 매개 변수는 다음과 같습니다. ① 차량의 종방향 가속도 ② 차량 속도 ③ 주변 온도 ④ 브레이크 페달을 밟는 힘","Safety","Brakes","Engine"
"42","일부 2014-2015년식 Fusion, MKZ 및 2015년식 Mustang 차량은 고온, 고습 및 고염분 환경에 장시간 노출되면 브레이크 페달 스토퍼가 내구성 부족으로 손상되어 브레이크 스위치를 정상적으로 작동시킬 수 없어 브레이크 페달을 밟지 않았음에도 밟은 것으로 차량이 오인식할 가능성이 있습니다. 이런 경우 브레이크 페달을 밟지 않아도 브레이크 등(램프)이 계속 켜져 있거나 엔진 시동을 걸 수 있으며 기어를 변속할 수 있는 가능성이 있습니다.","Safety","Brakes","Brakes"
"43","에어백 분사제로 사용된 질산 암모늄 압축 가스가 습기에 민감함에도 불구하고 충분하지 못한 씰링(Sealing)으로 인하여 습한 환경 에 노출되어 수분 입자를 흡수 할 수 있습니다 장시간 이러한 환경에 노출된 경 우 압축 가스의 성능이 악화되 어 , 충돌 사고로 인한 에어백 전개 시 질산 암모늄 압축 가스가 더 빠르고 폭발적으로 연소되어 인플레이터가 파열될 가능성이 있습니다","Safety","Interior Safety","Unknown"
"44","특정 기간 내에 생산된 티구안 차량에 장착된 파노라마 선루프 LED 모듈에서, 수분 영향(환경 혹은 우천시 선루프 개방 등)으로 선루프 전방 LED 조명 모듈 내부 회로에 부분적인 단락이 발생하여, 이로 인해 LED 조명 모듈에 과열이 발생할 수 있습니다","Safety","Other","Unknown"
"45","설계상의 문제로 인하여 일부 동승자 에어백에 있어서 충돌 사고 발생 시 부적절한 에어백 전개로 인하여 동승자가 부상 또는 심각한 상해를 입을 가능성이 있습니다. 이러한 결함은 덥고 습한 환경에 장시간 노출된 상황에서 발생할 가능성이 높으며 문제가 된 동승자 에어백은 일본 Takata社 제품입니다.","Safety","Interior Safety","Unknown"
"46","이그니션 스위치 브라켓의 문제로 인하여 엔진 고회전주행시 스위치가 움직여 시동이 꺼질 수 있는 가능성 발견","Safety","Engine","Ignition Switch"
"47","차량 키에 액세서리나 무거운 물체를 매달어 사용하는 경우, 오프로드 주행시, 차가 덜거덕 거릴 때 또는 무릅으로 키를 칠때, 키가 RUN 위치에서 다른 위치(액세서리 전원 또는 OFF)로 돌아감","Safety","Other","Unknown"
"48","좌석이 정확히 고정되지 않아 주행 중 고정 장치가 빠질 경우 안전운행에 지장을 줄 가능성이 발견됨","Safety","Seats and Interior","Unknown"
"49","와이퍼 모터 커넥터에 수분이 유입되어 작동이 되지 않아 운전자의 시야확보가 어려워 안전운행에 지장","Safety","Engine","Unknown"
"50","연료라인 연결장치 결함으로 주행 중 누유되어 안전운행에 지장","Safety","Fuel System","Fuel Pump"
"51","체인텐셔너 내부의 스프링을 고정하는 장치가 경우에 따라 비정상저인 마모가 진행될 수 있으며, 이러한 경우 텐셔너가 그 고유의 장력을 잃을 수 있습니다. 이는 엔진 구동용 캠축을 구동하게 하는 체인이 제 위치를 이탈하게 하여 인젠의 흡배기 밸브에 추가적인 손상을 줄수 있으며 이는 엔진의 시동성을 떨어뜨리고, 경우에따라 시동일 꺼질수 있음","Safety","Engine","Engine"
"52","뒤쪽 ESA 서스펜션의 피스톤로드가 고장이 발생하여 유압의 힘을 충분히 받지 못 할 경우 주행 중 타이어가 머다 가드에 닿을 수 있는 문제 발생","Safety","Suspension","Tires"
"53","SRS 안전장치 컨트롤 모듈에 일반 보정 소프트웨어 프로그램 문제 발생으로 FMVSS 208규정과 UN ECE 94 규정에 부합하지 않으며 국내 자동차안전기준에 관한 규칙 제102조와 동일한 규정임","Safety","Electrical","Unknown"
"54","가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음","Safety","Engine","Engine"
"55","변속기 내 높은 오일 압력으로 변속기 출력부에서 오일이 누유 될 수 있고, 누유 된 오일로 인해 미끄러질 가능성이 있어 안전운행에 지장","Safety","Drivetrain","Unknown"
"56","뒷바퀴 미끄러짐 방지 시스템(anti slip control)이 작동되지 않아 운행 중 미끄러질 가능성이 있어 안전운행 지장","Safety","Other","Unknown"
"57","수동 조작 밸브 에어 공급라인 부분이 정상 공정보다 깊게 천공 작업이 적용되어 갈라짐이 발생 될 수 있어 운행중 공기 누출 시 주차브레이크 제동장치가 작동하여 브레이크 캘리퍼에 열이 발생하여 제동 성능에 문제가 발생 할 수 있음","Safety","Brakes","Brakes"
"58","타이밍 체인 텐셔너 가스켓의 재질적인 공차로 인하여 타이밍 체인의 프리 텐션에 부정적인 영향을 줄 수 있으며 심한 경우 엔진룸 화재위험이 발생할 가능성이 있음","Safety","Engine","Engine"
"59","연료탱크에 장착된 연료 공급 라인이 분리되어 연료 공급 압력이 떨어져 시동 꺼짐과 시동정지후 시동이 걸리지 않을 가능성","Safety","Fuel System","Fuel Pump"
"60","앞 브레이크 마스터실린더 플로팅 피스톤의 제조 결함으로 내구성 떨어짐","Safety","Brakes","Brakes"
"61","사고 시 차량충격센서 등에서 신호를 전달받아 에어백 등을 동작시키는 역할을 하는 탑승자보호컨트롤러(ORC) 내부회로가 잘못 제작되어 사고 시 에어백이 작동하지 않을 가능성","Safety","Suspension","Unknown"
"62","Stop&Start 기능이 작동된 상태에서 주행 중 엔진 시동장치(모터)의 퓨즈가 끊어져 정차시 재시동이 되지않아 안전운행에 지장을 줄 가능성","Safety","Engine","Engine"
"63","연료펌프 결함으로 인하여 연료량이 적을경우 엔진 부조 혹은 시동꺼짐 증상으로 안전운행에 지장을 줄 가능성","Safety","Engine","Fuel Pump"
"64","차량 전원 통합 모듈내부에 장착된 연료 펌프 릴레이가 어떤 경고 메시지 없이 작동이 안될 가능성이 있음","Safety","Fuel System","Fuel Pump"
"65","엔진컨트롤 장치 소프트웨어의 오류 및 흡기기관의 체결부가 느슨해셔 있어 공회전시 시동이 꺼질 수 있는 가능성","Safety","Engine","Engine"
"66","ABS제어장치(모듈레이터)에 부식이 발생하여 브레이크 성능이 저하될 수 있어 안전운행에 지장","Safety","Brakes","Brakes"
"67","엔진룸 고무실링 일부가 엔진의 고온 부위와 접촉하여 엔진룸 화재 가능성 발견","Safety","Engine","Engine"
"68","연료탱크 내부의 연료량 감지센서 결함으로 연료량 표시 오류 및 시동꺼짐 현상 발생 가능성","Safety","Fuel System","Fuel Pump"
"69","운적석 파워시트가 장착된 차량이 충돌사고 시 시트 앞 부분 고정고리의 용접부위가 탈락되면서 고정 고리가 시트레일에서 분리될 수 있음","Safety","Seats and Interior","Seats"
